,Frame,label,id,confidence
0,1,car,0,59.42
1,1,car,1,61.77
2,1,car,2,67.4
3,1,car,3,70.51
4,1,car,4,75.37
5,1,bus,5,75.58
6,1,car,6,76.48
7,1,truck,7,77.49
8,1,car,8,80.27
9,1,car,9,81.49
10,1,car,10,82.72
11,1,car,11,82.82
12,1,car,12,83.16
13,1,car,13,87.91
14,1,car,5,88.16
15,1,car,14,89.34
16,2,car,15,50.86
17,2,car,0,59.54
18,2,car,1,61.84
19,2,car,2,67.22
20,2,car,3,70.84
21,2,car,4,75.23
22,2,bus,5,75.51
23,2,car,6,76.54
24,2,truck,7,77.31
25,2,car,8,80.44
26,2,car,9,81.51
27,2,car,10,82.82
28,2,car,11,82.91
29,2,car,12,83.23
30,2,car,13,87.83
31,2,car,5,88.18
32,2,car,14,89.4
33,3,car,0,65.62
34,3,car,2,67.04
35,3,car,15,67.32
36,3,car,1,67.57
37,3,car,3,69.98
38,3,bus,5,73.93
39,3,car,4,75.75
40,3,car,6,76.88
41,3,truck,7,80.45
42,3,car,9,80.53
43,3,car,8,81.21
44,3,car,11,81.49
45,3,car,10,82.76
46,3,car,12,82.9
47,3,car,13,84.69
48,3,car,14,88.78
49,3,car,5,89.37
50,4,car,0,65.06
51,4,car,15,66.71
52,4,car,2,66.95
53,4,car,1,67.46
54,4,car,3,69.97
55,4,bus,5,74.1
56,4,car,4,75.73
57,4,car,6,76.99
58,4,car,9,80.28
59,4,truck,7,80.46
60,4,car,8,81.14
61,4,car,11,81.47
62,4,car,10,82.73
63,4,car,12,82.91
64,4,car,13,84.91
65,4,car,14,88.83
66,4,car,5,89.36
67,5,truck,17,52.52
68,5,car,0,57.38
69,5,car,15,58.69
70,5,car,1,59.6
71,5,car,2,67.92
72,5,car,3,71.91
73,5,bus,5,74.97
74,5,truck,7,76.25
75,5,car,6,76.45
76,5,car,4,77.26
77,5,car,8,79.56
78,5,car,9,80.52
79,5,car,11,82.03
80,5,car,13,82.7
81,5,car,12,83.54
82,5,car,10,85.33
83,5,car,14,88.71
84,5,car,18,90.55
85,6,car,1,65.63
86,6,car,2,67.49
87,6,truck,7,70.04
88,6,car,3,71.77
89,6,car,15,72.11
90,6,bus,5,74.78
91,6,car,6,76.98
92,6,car,4,77.43
93,6,car,9,80.38
94,6,car,8,80.39
95,6,car,11,82.25
96,6,car,12,83.43
97,6,car,13,84.74
98,6,car,10,84.81
99,6,car,14,88.93
100,6,car,18,89.26
101,7,car,1,64.79
102,7,truck,7,65.48
103,7,car,2,68.22
104,7,car,3,72.57
105,7,bus,5,74.8
106,7,car,6,77.73
107,7,car,4,77.98
108,7,car,9,78.52
109,7,car,8,81.12
110,7,car,11,82.5
111,7,car,13,82.76
112,7,car,12,83.54
113,7,car,10,86.17
114,7,car,14,87.52
115,7,car,18,88.47
116,8,car,1,64.77
117,8,truck,7,65.3
118,8,car,2,68.21
119,8,car,3,72.61
120,8,bus,5,74.8
121,8,car,6,77.75
122,8,car,4,78.0
123,8,car,9,78.52
124,8,car,8,81.11
125,8,car,11,82.5
126,8,car,13,82.91
127,8,car,12,83.55
128,8,car,10,86.15
129,8,car,14,87.53
130,8,car,18,88.57
131,9,car,1,63.01
132,9,truck,7,64.59
133,9,car,2,67.4
134,9,car,3,71.84
135,9,bus,5,75.88
136,9,car,6,77.07
137,9,car,4,77.56
138,9,car,9,79.83
139,9,car,8,82.23
140,9,car,11,82.26
141,9,car,13,82.6
142,9,car,12,83.41
143,9,car,14,86.87
144,9,car,10,87.21
145,9,car,18,87.99
146,10,truck,7,61.34
147,10,car,1,63.88
148,10,car,2,69.12
149,10,car,9,71.32
150,10,car,3,72.79
151,10,car,6,77.01
152,10,bus,5,77.13
153,10,car,4,78.51
154,10,car,8,81.03
155,10,car,11,82.35
156,10,car,12,83.73
157,10,car,13,85.04
158,10,car,10,85.81
159,10,car,14,86.92
160,10,car,18,87.73
161,11,car,19,52.28
162,11,car,17,52.72
163,11,car,15,53.61
164,11,truck,7,65.04
165,11,car,2,66.68
166,11,car,1,69.16
167,11,car,3,73.24
168,11,car,9,73.98
169,11,bus,5,76.16
170,11,car,6,77.12
171,11,car,4,77.89
172,11,car,8,80.68
173,11,car,13,81.46
174,11,car,11,82.21
175,11,car,10,82.82
176,11,car,12,83.75
177,11,car,18,85.37
178,11,car,14,88.27
179,12,car,19,58.06
180,12,car,17,58.53
181,12,truck,7,59.04
182,12,car,2,66.71
183,12,car,1,70.23
184,12,car,3,73.41
185,12,car,6,76.3
186,12,bus,5,76.87
187,12,car,4,77.81
188,12,car,10,79.83
189,12,car,8,80.65
190,12,car,13,81.19
191,12,car,11,81.82
192,12,car,9,82.44
193,12,car,12,83.52
194,12,car,18,84.08
195,12,car,14,89.69
196,13,car,19,58.23
197,13,car,17,58.8
198,13,truck,7,59.0
199,13,car,2,66.61
