,Frame,label,id,confidence
0,1,car,0,52.45
1,1,car,1,52.6
2,1,truck,2,53.31
3,1,car,3,60.32
4,1,car,4,61.6
5,1,car,5,66.33
6,1,car,8,71.2
7,1,car,9,80.28
8,1,car,10,81.87
9,1,car,11,82.1
10,1,car,12,85.97
11,1,car,13,86.75
12,1,car,14,87.6
13,1,car,15,89.53
14,1,car,16,91.68
15,2,car,1,53.16
16,2,car,0,53.19
17,2,truck,2,54.36
18,2,car,3,60.11
19,2,car,4,61.63
20,2,car,5,67.45
21,2,car,8,70.62
22,2,car,9,80.12
23,2,car,11,82.08
24,2,car,10,82.11
25,2,car,12,86.15
26,2,car,13,87.01
27,2,car,14,87.7
28,2,car,15,89.58
29,2,car,16,91.65
30,3,truck,17,50.07
31,3,truck,2,53.29
32,3,car,0,57.9
33,3,car,1,59.72
34,3,car,3,62.26
35,3,car,4,63.04
36,3,car,5,65.12
37,3,car,8,70.72
38,3,car,11,81.44
39,3,car,9,82.81
40,3,car,10,83.05
41,3,car,12,87.67
42,3,car,14,88.15
43,3,car,13,89.23
44,3,car,18,89.77
45,3,car,16,91.84
46,4,truck,17,50.29
47,4,truck,2,50.47
48,4,car,19,52.23
49,4,car,0,58.46
50,4,car,1,59.02
51,4,car,5,59.17
52,4,car,3,65.06
53,4,car,4,65.16
54,4,car,8,70.93
55,4,car,9,79.08
56,4,car,11,82.36
57,4,car,12,83.02
58,4,car,14,83.15
59,4,car,10,83.27
60,4,car,16,88.97
61,4,car,13,89.29
62,4,car,18,90.86
63,5,car,19,50.92
64,5,car,1,50.98
65,5,truck,2,51.49
66,5,car,0,55.91
67,5,car,5,58.72
68,5,car,3,64.19
69,5,car,20,65.56
70,5,car,4,65.77
71,5,car,8,71.29
72,5,car,11,72.88
73,5,car,9,78.72
74,5,car,10,83.23
75,5,car,14,83.5
76,5,car,12,84.15
77,5,car,13,90.28
78,5,car,16,90.65
79,5,car,18,91.31
80,6,truck,2,54.96
81,6,car,0,59.01
82,6,car,3,63.59
83,6,car,4,64.05
84,6,car,11,64.52
85,6,car,1,66.17
86,6,car,8,70.87
87,6,car,5,70.9
88,6,car,10,82.11
89,6,car,9,82.39
90,6,car,12,83.89
91,6,car,14,85.87
92,6,car,16,87.15
93,6,car,13,89.38
94,6,car,18,91.08
95,7,truck,2,54.79
96,7,car,0,59.23
97,7,car,3,63.46
98,7,car,4,63.99
99,7,car,11,64.85
100,7,car,1,65.74
101,7,car,8,70.82
102,7,car,5,71.42
103,7,car,10,82.09
104,7,car,9,82.52
105,7,car,12,84.05
106,7,car,14,86.08
107,7,car,16,87.33
108,7,car,13,89.45
109,7,car,18,91.06
110,8,car,19,51.36
111,8,truck,2,55.08
112,8,car,0,61.94
113,8,car,3,64.92
114,8,car,4,65.74
115,8,car,1,67.27
116,8,car,11,68.36
117,8,car,8,71.59
118,8,car,5,78.46
119,8,car,9,82.42
120,8,car,10,82.46
121,8,car,12,86.53
122,8,car,13,87.25
123,8,car,16,87.34
124,8,car,14,88.77
125,8,car,18,92.49
126,9,car,19,50.51
127,9,car,21,51.3
128,9,car,0,54.09
129,9,truck,2,55.98
130,9,car,11,61.44
131,9,car,3,64.47
132,9,car,4,65.42
133,9,car,1,67.56
134,9,car,8,71.67
135,9,car,9,77.51
136,9,car,5,81.26
137,9,car,10,81.81
138,9,car,16,82.76
139,9,car,7,86.34
140,9,car,14,90.41
141,9,car,13,91.12
142,9,car,18,92.1
143,10,car,19,51.05
144,10,truck,20,53.84
145,10,truck,2,56.61
146,10,car,0,57.76
147,10,car,1,61.87
148,10,car,3,65.33
149,10,car,11,65.59
150,10,car,4,67.05
151,10,car,8,69.93
152,10,car,5,80.99
153,10,car,10,81.16
154,10,car,9,81.24
155,10,car,16,87.34
156,10,car,7,88.04
157,10,car,14,88.48
158,10,car,13,89.2
159,10,car,18,92.83
160,11,car,0,51.17
161,11,car,19,51.42
162,11,car,11,52.44
163,11,truck,20,53.82
164,11,truck,2,55.69
165,11,car,1,60.32
166,11,car,1,64.02
167,11,car,3,64.78
168,11,car,4,67.3
169,11,car,8,70.61
170,11,car,5,73.93
171,11,car,10,81.73
172,11,car,7,84.87
173,11,car,16,85.28
174,11,car,9,85.78
175,11,car,14,87.62
176,11,car,13,88.22
177,11,car,18,93.85
178,12,truck,23,50.87
179,12,truck,20,51.35
180,12,car,19,52.35
181,12,truck,2,55.87
182,12,car,0,56.52
183,12,car,1,58.01
184,12,car,1,61.31
185,12,car,3,64.9
186,12,car,5,67.92
187,12,car,4,67.99
188,12,car,8,71.79
189,12,car,10,82.67
190,12,car,14,85.0
191,12,car,9,86.36
192,12,car,16,86.66
193,12,car,13,86.78
194,12,car,7,88.21
195,12,car,18,89.48
196,13,truck,23,50.81
197,13,truck,20,51.12
198,13,car,19,52.4
199,13,truck,2,55.62
200,13,car,0,56.43
201,13,car,1,58.1
202,13,car,1,61.25
203,13,car,3,64.93
204,13,car,5,67.88
205,13,car,4,68.03
206,13,car,8,71.8
207,13,car,10,82.68
208,13,car,14,85.0
209,13,car,9,86.31
210,13,car,16,86.63
211,13,car,13,86.81
212,13,car,7,88.21
213,13,car,18,89.48
214,14,truck,23,52.2
215,14,car,19,53.47
216,14,truck,2,54.41
217,14,car,0,61.65
218,14,car,3,65.68
219,14,car,1,67.0
220,14,car,11,67.7
221,14,car,4,67.8
222,14,car,8,71.31
223,14,car,20,72.31
224,14,car,5,74.35
225,14,car,7,81.97
226,14,car,10,82.98
227,14,car,14,83.69
228,14,car,16,84.41
229,14,car,9,88.13
230,14,car,13,89.55
231,14,car,18,92.64
232,15,car,19,51.12
233,15,car,11,51.85
234,15,truck,2,52.92
235,15,truck,23,53.44
236,15,car,0,61.22
237,15,car,3,62.59
238,15,car,4,65.41
239,15,car,1,66.27
240,15,car,5,68.81
241,15,car,8,72.27
242,15,car,14,77.76
243,15,car,10,82.97
244,15,car,7,86.46
245,15,car,9,86.61
246,15,car,16,87.09
247,15,car,13,88.11
248,15,car,18,91.55
249,16,truck,20,51.99
250,16,truck,23,52.14
251,16,car,24,55.21
252,16,car,1,61.07
253,16,car,11,62.71
254,16,car,3,63.62
255,16,car,4,64.49
256,16,car,0,67.06
257,16,car,8,72.73
258,16,car,16,74.38
259,16,car,5,74.79
260,16,car,10,82.99
261,16,car,7,86.0
262,16,car,9,88.78
263,16,car,14,89.29
264,16,car,13,89.53
265,16,car,18,91.89
266,17,truck,23,50.66
267,17,car,1,54.11
268,17,car,25,59.85
269,17,car,20,61.61
270,17,car,11,63.12
271,17,car,3,64.13
272,17,car,4,64.37
273,17,car,16,65.97
274,17,car,0,66.51
275,17,car,8,72.76
276,17,car,5,81.19
277,17,car,10,82.97
278,17,car,7,84.96
279,17,car,9,88.65
280,17,car,14,88.97
281,17,car,13,90.22
282,17,car,18,91.94
283,18,car,26,50.41
284,18,truck,23,50.54
285,18,truck,20,52.82
286,18,car,1,56.88
287,18,car,1,60.32
288,18,car,3,63.39
289,18,car,0,63.58
290,18,car,4,63.74
291,18,car,7,69.01
292,18,car,11,71.26
293,18,car,8,71.93
294,18,car,10,82.01
295,18,car,14,83.06
296,18,car,5,86.26
297,18,car,13,86.99
298,18,car,7,87.91
299,18,car,9,88.72
300,18,car,18,89.93
301,19,car,26,50.25
302,19,truck,23,50.67
303,19,truck,20,53.1
304,19,car,1,56.58
305,19,car,1,60.37
306,19,car,0,63.4
307,19,car,3,63.4
308,19,car,4,63.72
309,19,car,7,68.98
310,19,car,11,71.29
311,19,car,8,71.92
312,19,car,10,81.97
313,19,car,14,82.92
314,19,car,5,86.22
315,19,car,13,86.9
316,19,car,7,87.88
317,19,car,9,88.73
318,19,car,18,89.92
319,20,truck,23,50.23
320,20,truck,2,50.73
321,20,car,1,51.94
322,20,car,1,54.71
323,20,car,0,60.69
324,20,car,11,61.11
325,20,car,4,62.8
326,20,car,3,64.39
327,20,car,7,65.05
328,20,car,8,71.05
329,20,car,10,81.97
330,20,car,14,83.53
331,20,car,5,84.2
332,20,car,7,85.14
333,20,car,9,88.02
334,20,car,13,90.58
335,20,car,18,91.72
336,21,truck,23,51.49
337,21,car,16,52.95
338,21,truck,2,53.77
339,21,car,0,55.99
340,21,car,4,62.86
341,21,car,3,63.7
342,21,car,1,64.47
343,21,car,8,70.52
344,21,car,14,82.42
345,21,car,10,83.34
346,21,car,7,83.74
347,21,car,5,85.72
348,21,car,9,88.43
349,21,car,13,90.63
350,21,car,18,91.61
351,22,truck,23,50.45
352,22,truck,2,51.43
353,22,car,1,52.39
354,22,car,0,55.81
355,22,car,4,64.32
356,22,car,1,64.58
357,22,car,3,64.78
358,22,car,8,71.02
359,22,car,10,83.12
360,22,car,14,84.21
361,22,car,7,84.67
362,22,car,5,86.67
363,22,car,9,88.24
364,22,car,13,89.3
365,22,car,18,91.64
366,23,truck,2,52.84
367,23,truck,6,56.86
368,23,car,1,57.88
369,23,car,3,62.28
370,23,car,4,62.43
371,23,car,8,71.69
372,23,car,7,78.15
373,23,car,10,83.34
374,23,car,5,85.0
375,23,car,14,86.98
376,23,car,9,88.42
377,23,car,13,90.27
378,23,car,18,92.75
379,24,truck,6,54.13
380,24,car,4,62.82
381,24,car,3,63.39
382,24,car,24,64.76
383,24,car,1,65.87
384,24,car,8,71.53
385,24,car,7,81.99
386,24,car,10,82.91
387,24,car,5,86.3
388,24,car,14,87.68
389,24,car,9,87.84
390,24,car,13,90.35
391,24,car,18,93.94
392,25,truck,6,52.87
393,25,truck,23,53.27
394,25,truck,2,54.02
395,25,car,3,62.29
396,25,car,3,64.34
397,25,car,1,65.06
398,25,car,1,66.22
399,25,car,8,71.15
400,25,car,10,82.92
401,25,car,7,83.91
402,25,car,5,86.16
403,25,car,14,86.99
404,25,car,9,87.78
405,25,car,13,90.39
406,25,car,18,94.07
407,26,truck,23,52.03
408,26,truck,2,52.05
409,26,car,0,52.93
410,26,car,3,60.76
411,26,car,3,61.14
412,26,truck,6,62.05
413,26,car,1,62.95
414,26,car,1,63.84
415,26,car,8,70.24
416,26,car,7,79.73
417,26,car,10,82.97
418,26,car,9,86.79
419,26,car,14,87.96
420,26,car,5,89.37
421,26,car,13,89.63
422,26,car,18,90.48
423,27,car,7,51.12
424,27,truck,23,52.78
425,27,car,0,54.17
426,27,car,1,55.85
427,27,truck,27,59.87
428,27,car,3,62.51
429,27,car,3,63.33
430,27,car,8,69.47
431,27,car,25,70.52
432,27,car,10,83.08
433,27,car,9,87.24
434,27,car,14,87.92
435,27,car,5,88.0
436,27,car,13,90.35
437,27,car,18,91.04
438,28,truck,23,51.04
439,28,car,0,51.88
440,28,car,7,52.93
441,28,car,27,56.36
442,28,car,3,58.91
443,28,car,3,61.23
444,28,car,24,61.52
445,28,car,8,70.84
446,28,car,9,80.69
447,28,car,10,83.67
448,28,car,14,85.98
449,28,car,5,89.1
450,28,car,13,90.86
451,28,car,18,90.99
452,29,truck,23,51.44
453,29,car,3,58.45
454,29,car,3,61.71
455,29,car,24,67.99
456,29,car,8,71.54
457,29,car,15,79.57
458,29,car,10,84.04
459,29,car,14,87.21
460,29,car,9,87.58
461,29,car,5,87.83
462,29,car,13,90.16
463,29,car,18,91.44
464,30,truck,23,50.38
465,30,car,3,59.86
466,30,car,3,60.33
467,30,car,24,62.16
468,30,car,8,71.33
469,30,car,10,83.71
470,30,car,15,85.45
471,30,car,5,86.28
472,30,car,9,86.47
473,30,car,13,88.31
474,30,car,14,90.7
475,30,car,18,91.87
476,31,truck,23,50.34
477,31,car,3,59.81
478,31,car,3,60.32
479,31,car,24,62.11
480,31,car,8,71.33
481,31,car,10,83.69
482,31,car,15,85.3
483,31,car,5,86.22
484,31,car,9,86.42
485,31,car,13,88.25
486,31,car,14,90.66
487,31,car,18,91.88
488,32,truck,23,51.76
489,32,car,3,58.87
490,32,car,3,59.06
491,32,car,24,64.97
492,32,car,8,71.3
493,32,car,15,80.09
494,32,car,10,83.83
495,32,car,5,86.07
496,32,car,9,87.99
497,32,car,14,90.58
498,32,car,13,91.14
499,32,car,18,91.65
500,33,car,28,50.53
501,33,truck,2,51.16
502,33,truck,23,51.9
503,33,car,3,57.92
504,33,car,3,57.93
505,33,car,24,65.64
506,33,car,8,70.98
507,33,car,10,83.68
508,33,car,15,86.55
509,33,car,5,86.9
510,33,car,9,87.63
511,33,car,13,89.15
512,33,car,14,89.87
513,33,car,18,92.29
514,34,truck,2,50.29
515,34,truck,23,51.11
516,34,bus,1,52.07
517,34,car,28,54.19
518,34,car,3,55.56
519,34,car,4,60.68
520,34,car,8,72.16
521,34,car,24,75.32
522,34,car,15,80.03
523,34,car,10,84.08
524,34,car,5,87.46
525,34,car,18,89.32
526,34,car,13,90.14
527,34,car,9,90.34
528,34,car,14,90.99
529,35,car,28,51.5
530,35,truck,23,52.02
531,35,car,3,57.03
532,35,car,4,58.17
533,35,car,24,62.97
534,35,car,8,71.85
535,35,car,15,81.29
536,35,car,5,82.03
537,35,car,10,83.99
538,35,car,14,88.31
539,35,car,12,89.31
540,35,car,9,89.45
541,35,car,18,90.85
542,36,car,28,51.46
543,36,truck,23,52.12
544,36,car,3,60.27
545,36,car,3,60.9
546,36,car,8,71.01
547,36,car,24,72.6
548,36,car,5,73.72
549,36,car,10,83.69
550,36,car,15,87.99
551,36,car,12,88.82
552,36,car,18,90.58
553,36,car,14,90.73
554,36,car,9,90.9
555,37,car,28,51.17
556,37,truck,23,52.19
557,37,car,3,60.04
558,37,car,3,60.88
559,37,car,8,71.05
560,37,car,24,72.58
561,37,car,5,73.8
562,37,car,10,83.71
563,37,car,15,87.97
564,37,car,12,88.78
565,37,car,18,90.55
566,37,car,14,90.72
567,37,car,9,90.91
568,38,truck,23,50.83
569,38,car,29,54.77
570,38,car,3,59.68
571,38,car,3,60.57
572,38,car,1,67.71
573,38,car,24,70.9
574,38,car,8,72.22
575,38,car,5,80.66
576,38,car,10,84.09
577,38,car,12,84.76
578,38,car,15,86.56
579,38,car,14,86.57
580,38,car,9,90.99
581,38,car,18,91.78
582,39,truck,23,50.26
583,39,car,0,51.25
584,39,car,3,62.29
585,39,car,3,64.36
586,39,car,29,67.07
587,39,car,8,71.97
588,39,car,24,72.54
589,39,car,1,78.39
590,39,car,5,83.08
591,39,car,10,84.13
592,39,car,14,84.99
593,39,car,12,86.74
594,39,car,9,90.29
595,39,car,30,90.62
596,39,car,18,90.84
597,40,truck,23,51.2
598,40,car,0,51.91
599,40,car,3,57.99
600,40,car,29,58.99
601,40,car,1,59.95
602,40,car,3,60.51
603,40,car,8,71.4
604,40,car,24,73.8
605,40,car,7,83.18
606,40,car,10,84.06
