,Frame,label,id,confidence
0,1,truck,0,56.93
1,1,car,1,61.18
2,1,truck,2,64.35
3,1,car,3,71.37
4,1,car,4,71.99
5,1,car,5,77.8
6,1,car,6,79.4
7,1,car,7,82.74
8,2,truck,0,57.31
9,2,car,1,61.02
10,2,truck,2,61.34
11,2,car,3,71.11
12,2,car,4,71.55
13,2,car,6,77.98
14,2,car,5,78.07
15,2,car,7,82.58
16,3,truck,0,57.3
17,3,car,1,61.01
18,3,truck,2,61.48
19,3,car,3,71.14
20,3,car,4,71.46
21,3,car,6,77.96
22,3,car,5,78.11
23,3,car,7,82.58
24,4,truck,0,57.17
25,4,car,1,60.04
26,4,truck,2,62.72
27,4,car,3,70.06
28,4,car,4,70.59
29,4,car,5,77.68
30,4,car,6,78.21
31,4,car,7,82.38
32,5,truck,0,56.82
33,5,truck,2,60.95
34,5,car,1,61.99
35,5,car,4,69.78
36,5,car,3,71.67
37,5,car,5,77.4
38,5,car,6,78.4
39,5,car,7,82.86
40,6,truck,0,58.06
41,6,car,1,62.29
42,6,truck,2,65.03
43,6,car,4,68.71
44,6,car,3,71.79
45,6,car,5,77.4
46,6,car,6,79.22
47,6,car,7,82.74
48,7,truck,0,59.61
49,7,car,1,63.63
50,7,truck,2,67.8
51,7,car,4,70.28
52,7,car,3,72.88
53,7,car,5,77.36
54,7,car,6,79.65
55,7,car,7,83.09
56,8,truck,0,59.93
57,8,car,1,63.13
58,8,car,4,67.68
59,8,truck,2,70.29
60,8,car,3,72.83
61,8,car,5,76.89
62,8,car,6,81.27
63,8,car,7,82.97
64,9,truck,0,59.94
65,9,car,1,63.16
66,9,car,4,67.79
67,9,truck,2,70.44
68,9,car,3,72.85
69,9,car,5,76.88
70,9,car,6,81.23
71,9,car,7,82.98
72,10,truck,0,57.32
73,10,car,1,63.15
74,10,car,4,68.79
75,10,truck,2,70.57
76,10,car,3,73.02
77,10,car,5,77.26
78,10,car,6,81.34
79,10,car,7,82.79
80,11,truck,0,57.03
81,11,car,1,63.62
82,11,truck,2,69.38
83,11,car,4,69.52
84,11,car,3,73.37
85,11,car,5,77.59
86,11,car,6,82.06
87,11,car,7,82.93
88,12,truck,8,50.01
89,12,truck,0,56.44
90,12,car,1,64.29
91,12,truck,2,64.67
92,12,car,4,69.27
93,12,car,3,73.76
94,12,car,5,77.85
95,12,car,6,82.39
96,12,car,7,82.74
97,13,car,9,50.44
98,13,truck,8,50.64
99,13,truck,0,55.49
100,13,car,1,64.26
101,13,car,4,67.05
102,13,truck,2,69.02
103,13,car,3,73.94
104,13,car,5,77.71
105,13,car,7,82.86
106,13,car,6,83.13
107,14,truck,0,55.93
108,14,car,1,62.47
109,14,car,4,69.34
110,14,truck,2,71.45
111,14,car,3,71.7
112,14,car,5,77.7
113,14,car,6,81.84
114,14,car,7,82.27
115,15,car,10,50.33
116,15,truck,0,55.96
117,15,car,1,62.54
118,15,car,4,69.32
119,15,truck,2,71.63
120,15,car,3,71.72
121,15,car,5,77.73
122,15,car,6,81.87
123,15,car,7,82.28
124,16,truck,0,56.55
125,16,car,1,61.58
126,16,truck,2,69.55
127,16,car,4,69.65
128,16,car,3,71.88
129,16,car,5,77.47
130,16,car,7,81.75
131,16,car,6,81.98
132,17,truck,0,53.17
133,17,car,1,61.12
134,17,car,4,66.42
135,17,truck,2,67.3
136,17,car,3,70.64
137,17,car,5,77.2
138,17,car,7,81.35
139,17,car,6,81.67
140,18,car,10,50.65
141,18,truck,0,54.02
142,18,car,1,60.42
143,18,car,4,65.7
144,18,truck,2,69.41
145,18,car,3,69.85
146,18,car,5,77.68
147,18,car,6,80.92
148,18,car,7,81.06
149,19,car,10,51.65
150,19,truck,0,55.37
151,19,car,1,58.59
152,19,car,4,65.86
153,19,car,3,68.5
154,19,truck,2,69.18
155,19,car,5,78.07
156,19,car,6,78.79
157,19,car,7,80.45
158,20,car,10,51.03
159,20,truck,0,56.89
160,20,car,1,59.36
161,20,truck,2,67.18
162,20,car,4,67.5
163,20,car,3,68.96
164,20,car,5,77.94
165,20,car,6,78.5
166,20,car,7,80.82
167,21,car,10,51.11
168,21,truck,0,56.84
169,21,car,1,59.36
170,21,car,4,67.5
171,21,truck,2,67.53
172,21,car,3,68.96
173,21,car,5,77.93
174,21,car,6,78.5
175,21,car,7,80.82
176,22,truck,8,50.55
177,22,truck,0,56.0
178,22,car,1,57.19
179,22,truck,2,63.38
180,22,car,4,66.24
181,22,car,3,69.09
182,22,car,6,78.05
183,22,car,5,78.12
184,22,car,7,81.14
185,23,truck,8,50.85
186,23,truck,0,56.0
187,23,car,1,57.28
188,23,car,4,67.25
189,23,car,3,69.2
190,23,truck,2,69.47
191,23,car,5,76.47
192,23,car,6,79.56
193,23,car,7,81.02
194,24,truck,11,52.85
195,24,car,10,53.83
196,24,truck,0,56.47
197,24,truck,2,64.14
198,24,car,1,66.11
199,24,car,4,70.79
200,24,car,3,74.27
201,24,car,6,77.19
202,24,car,5,77.57
203,24,car,7,82.21
204,25,truck,0,50.26
205,25,car,10,53.77
206,25,truck,11,54.56
207,25,truck,2,60.57
208,25,car,1,67.34
209,25,car,4,71.21
210,25,car,3,74.26
211,25,car,5,76.17
212,25,car,6,77.51
213,25,car,7,82.23
214,26,truck,0,51.9
215,26,car,10,51.95
216,26,car,2,54.08
217,26,truck,2,54.28
218,26,truck,11,54.42
219,26,car,1,68.85
220,26,car,4,73.48
221,26,car,3,75.3
222,26,car,5,76.6
223,26,car,6,77.47
224,26,car,7,82.45
225,27,truck,0,51.92
226,27,car,10,51.98
227,27,car,2,54.16
228,27,truck,2,54.23
229,27,truck,11,54.42
230,27,car,1,68.88
231,27,car,4,73.51
232,27,car,3,75.33
233,27,car,5,76.63
234,27,car,6,77.49
235,27,car,7,82.46
236,28,truck,0,50.33
237,28,truck,11,52.98
238,28,car,10,53.18
239,28,car,2,59.19
240,28,car,1,66.54
241,28,car,4,74.01
242,28,car,3,74.73
243,28,car,5,75.77
244,28,car,6,77.43
245,28,car,7,82.51
246,29,truck,11,50.07
247,29,car,5,50.2
