,Frame,label,id,confidence
0,1,car,0,52.08
1,1,car,1,58.87
2,1,truck,2,60.77
3,1,truck,3,61.04
4,1,car,4,64.06
5,1,truck,5,65.01
6,1,car,6,65.18
7,1,car,7,70.33
8,1,car,8,71.49
9,1,car,2,72.94
10,1,truck,4,75.47
11,1,truck,9,78.05
12,1,car,10,82.73
13,1,car,11,88.82
14,1,car,12,91.62
15,2,car,0,51.7
16,2,truck,13,57.81
17,2,car,1,57.9
18,2,truck,2,60.54
19,2,truck,5,61.09
20,2,truck,3,62.78
21,2,car,4,64.62
22,2,car,8,66.15
23,2,car,7,68.14
24,2,car,6,68.56
25,2,car,2,72.15
26,2,truck,9,77.36
27,2,truck,4,80.76
28,2,car,10,85.8
29,2,car,11,88.99
30,2,car,12,91.64
31,3,car,0,51.83
32,3,truck,5,56.47
33,3,car,1,59.69
34,3,truck,2,62.28
35,3,truck,3,64.34
36,3,car,8,66.53
37,3,car,4,67.2
38,3,car,6,68.53
39,3,car,2,71.0
40,3,truck,4,81.03
41,3,car,10,82.38
42,3,truck,9,86.3
43,3,car,11,88.68
44,3,car,12,91.55
45,4,car,0,53.33
46,4,truck,5,55.73
47,4,car,1,60.09
48,4,truck,2,62.24
49,4,truck,3,64.72
50,4,car,8,66.47
51,4,car,6,68.77
52,4,car,4,68.82
53,4,car,2,70.82
54,4,truck,4,81.15
55,4,car,10,82.41
56,4,truck,9,86.27
57,4,car,11,88.72
58,4,car,12,91.54
59,5,truck,13,51.39
60,5,car,1,53.2
61,5,car,0,55.04
62,5,truck,5,61.18
63,5,truck,2,62.81
64,5,car,6,64.92
65,5,car,2,66.13
66,5,car,8,67.08
67,5,truck,3,68.53
68,5,car,4,69.46
69,5,truck,4,79.08
70,5,car,10,82.17
71,5,truck,9,87.55
72,5,car,11,88.62
73,5,car,12,91.64
74,6,truck,5,50.22
75,6,car,15,52.59
76,6,truck,13,55.95
77,6,car,0,57.24
78,6,car,1,58.39
79,6,car,4,59.49
80,6,car,8,60.11
81,6,truck,2,62.26
82,6,truck,4,63.26
83,6,car,6,66.33
84,6,truck,3,66.5
85,6,car,2,68.04
86,6,truck,16,68.59
87,6,truck,9,79.49
88,6,car,10,83.47
89,6,car,11,88.91
90,6,car,12,91.47
91,7,truck,5,51.65
92,7,car,1,54.01
93,7,car,17,57.39
94,7,car,6,62.39
95,7,truck,2,62.51
96,7,truck,4,63.21
97,7,truck,3,63.96
98,7,car,8,64.77
99,7,truck,16,66.67
100,7,car,2,66.81
101,7,truck,9,82.54
102,7,car,10,86.76
103,7,car,11,89.33
104,7,car,12,91.48
105,8,car,15,53.92
106,8,car,17,54.46
107,8,truck,4,55.03
108,8,car,1,59.06
109,8,car,8,64.12
110,8,truck,3,64.35
111,8,truck,2,65.86
112,8,truck,16,65.89
113,8,car,6,66.43
114,8,truck,9,69.99
115,8,car,2,70.57
116,8,car,10,79.72
117,8,car,11,89.06
118,8,car,12,91.47
119,9,car,15,54.69
120,9,car,17,55.17
121,9,truck,4,55.32
122,9,car,1,58.71
123,9,truck,3,62.88
124,9,car,8,64.21
125,9,truck,16,66.11
126,9,truck,2,66.28
127,9,car,6,66.3
128,9,truck,9,68.7
129,9,car,2,70.57
130,9,car,10,79.8
131,9,car,11,89.06
132,9,car,12,91.48
133,10,truck,4,52.92
134,10,truck,5,53.98
135,10,truck,3,55.37
136,10,truck,16,56.23
137,10,car,1,59.02
138,10,truck,2,63.61
139,10,truck,13,63.8
140,10,car,8,65.63
141,10,car,6,72.12
142,10,car,2,74.69
143,10,car,10,85.91
144,10,car,11,89.14
145,10,car,12,91.6
